Komentar,komen_Eng
ah ded lo s1 psikiatri kan,ah ded lo s1 psikiatri kan
cok tau kalau label botol le mineral hadap camera makanya puterpas selesai minum chhaaaaaaaaxxx,"cok know if the label of the mineral bottle is facing the camera, that's why the puterpas finished drinking chhaaaaaaaaaxxx"
mungkin tim kasitau,maybe the Kastau team
ni orang kok ga malu kek bangga gitu loh masuk penjaraa udahlah ngasih contoh ga bene buat anak anak emosi labilseakan ga sesal sama sekalitolonglah manusia ini jangan lagi sosial media,"Why aren't these people ashamed of being so proud? Go to jail, set an example, don't make your children emotionally unstable, as if they don't have any regrets, please, this human being, don't use social media anymore."
takut bgt klo papua lepas dari pangku ibu pertiwi,I'm really afraid that Papua will leave the bosom of the motherland
om dedy undang tokoh2 papua dong,"Uncle Dedy, invite Papuan figures, please"
ku bantu le,ku bantu le
assalamualaikum buat channel tenang spesifikasi andarioid lengkap 1 menit insayaa allah depan bakal banyak vidio editor amatir,"assalamualaikum, create a calm channel, complete Android specifications in 1 minute, God willing, in the future there will be many amateur video editors"
whyyy ane baru lht ini,whyyy I just saw this
bjir sulap mana bukan biasa buka gembok pake titid skrg pake kunci,"Where is the magic trick? It's not common to open a lock with a titid, now with a key"
ini istidariaj,this is istidariaj
buat orang so agamais mau islam kristen sana korea utara kalo berani sebar agama sana,"for people who are so religious, they want Islam, Christianity, North Korea, if they dare to spread religion there"
pulang rehab jadi intelek,return home to rehab and become an intellectual
orang punya opini persepsi bahkan legitimasi ucap benarsalah,"People have opinions, perceptions and even the legitimacy of saying what is right or wrong"
the real anak setanw suka gaya u lanjutkansukses terus,the real devil boy likes your style continue your success
panutan gw nhi king of liberalisme,My role model is the King of Liberalism
andal gua dateng bumi lord cok,"I can trust you to come to earth, Lord"
ngtidak tinggal chuakss,"nope, chuakss"
waduh endorse dariug enak wkwwk,Wow Dariug's endorsement is delicious hahaha
haha ntidakak bgsdv,haha ntidakak bgsdv
calon lg nih,another candidate
welcome back jik tunggu musmas lebih jurang,welcome back if you're waiting for musmas more gap
chookkii isss back saaatttddd loh cok,chookkii isss back saaatttddd loh cok
teman ngool paling seru dgn dccara pikir tajaaam,the most exciting friend to chat with and sharp thinking
hhhh satir ny blarrrrrrrr love uuuuu shit,Hahah satyr nay blarrrrrrrrrrr lowe uuuuu
moga makin hibur makin blangsak,I hope it will be more fun and more fun
ayo om ded bikin cok muslim 1frame,come on uncle ded make a Muslim boy 1 frame
sok iye,Mourning Ye
benar di sampai cokitentang narkoba,It's true that Coki is talking about drugs
bang cok pantat masih dool ga,bang com butt is still a doll or not
quotmeth sabu bukan candu kerinduanquot,quot methamphetamine makes me addictive to longing quot
ramah,ramah
sih teman ragil cuma ragil ngga kampung so soan ngenginggris ragil masuk smart pipel dedi sama dia nyata undang jadi kategori standar smart pipel homo perhati kalian cuma satu tutup diri fasih bicara jadi lihat seolah2 smart padahal otak sama,"hey, Ragil's friend is just a ragil, not from the village, so I'm talking to Ragil in smart pipel, he's the same, he's the same, so he's the standard category of smart pipel homo, pay attention, you're only one, shut up, talk fluently, so you look like you're smart, even though you have the same brain"
ambil contoh ke makanancukup simpel ajagcoli,take for example the food is quite simple ajagcoli
pantesan otaklu miring terus ngomong ngaco nyata lu selalu make ya wes rusak generasi muda dah,"No wonder your brain is slanted and you keep talking stupid things, it's real, you always use it, wes, it's ruining the younger generation"
disalahin generasi muda padahal generasi belum sama aja,blamed by the younger generation even though the generation is not the same
gw senang kalau cok jelas sesuatumudah erti tarik jelas edit ketawa jahat,"I like it when something is clear, easy to understand, pull clearly, edit evil laugh"
ketawa menit 40 creepy cuyy,laugh for 40 minutes creepy cuyy
gilaaa sih sampai cok sihh yang gw suka dia,It's crazy that I really like him
kapan konten gua kangen anji,When is the content I miss Anji?
ing,ing
keren paman cok beri canda tawa komedi kualitas ke masayaarakat komedi satir keren euy,"Cool Uncle Cok, give quality comedy laughter to the community, cool satirical comedy"
moga jadi ajar hidup baik,May it be a good life lesson
neng banget cok udh keluar,I'm so excited to be out
coky,coky
fokus nomor baju 666,Focus on shirt number 666
gasuka dah gua ama,gasuka already cave
choki emang pwantat boy,Choki really is a good boy
cok pardede satu frekuensi,cok pardede one frequency
selamat cok udah bebas aku suka sama bang cok,"Congratulations, Coki is free, I like Bro Cok"
cok gay,so gay
chuaakkzzz,chuaakkzzz
gpp dikeluarin om ngisi acara kh,gpp released by om filli event kh
sisir aja edep cok biar susah cari bahan,just comb it so it's hard to find ingredients
yes agnostik,yes agnostic
jgn percaya org kacamata,Don't trust people with glasses
podcast keren,podcast keren
sebab nyabuuu pengaruh sama ucupan tindak,because nabuuu has the same influence as speech and action
cok masuk semart pipel nih soal undang pakdedi slh 1 tagline pakdedi kan quotjangan buat orang bodoh terkenalquot ye kannn,"Come on in like a piper, it's a question of Pakdedi's law, just one tagline, Pakdedi, right, quot don't make stupid people famous, kannn"
kayak org homo undang ya hahaha kalau bukan masayaarakat indonesia ragil masuk smart pipel wkwkwkwk,"It's like gay people are invited, hahaha, if it's not the Indonesian community, it's illegal to enter the smart pipe hahaha"
akhhh tidakerasa nyata uda tahun y paman cokii rehab senenggg bgttt come back,"ahhh it doesn't feel real that it's been a year since Uncle Cokii went into rehab, so happy to come back"
paman cok comeback,uncle cok comeback
tangkap bukan kata,catch not words
banyak tonton hibur apa,watch a lot of entertainment
karya ni orang,this person's work
kata cerdas bangsa,said the intelligent nation
nothing,nothing
corbuzier,corbuzier
please bang tolg dong gua ken tau logikanyaa bagus manaa,"Please bro, please help me, I want to know which logic is good"
bang temuin cok sma cak lontong,"bro, I met you and lontong"
orang mabok ajak ngomong blok,drunk people talk block
son of horus is back,son of horus is back
waw angka ny 666 wkwkwk,wow the number is 666 hahaha
jelas polisi kait gas air mata stadion kanjuruhan,it was clear that the police used tear gas at the Kanjuruhan Stadium
adiksi,addiction
boleh elak adegan gelut polisi ngegrebek bagus ga nyorot kamera ke tv fokus geledah cari barbuk,"Can you avoid the scene of the police fighting, it's good to point the camera to the TV and focus on the search for the barbuk"
kangen banget gua sama lu cuahhhhkkkkkssss,I really miss you cuahhhhkkkkkkssss
,in
close the quot door door door quot,close the quot door door door quot
beda orang agama masalah ibadah mentidaku buah kuat sang maha esa kuat mutlak tuhan agama apa bakal percaya dg kuat nah bahas kena paham ateis selalu arah suatu tak percaya rasa diri kuasa atas pilih teori akibatperbedaan ini selalu pegang orang ateis walaupun saya buah makam fase suatu ateis bisa ubah mnjadi agama bahkan tingkatny paham mode cari tuhan patut pegang orang agama buah ketentuaan taat membedakancoba renung anda ibadah orang ibadah ibadah orang ibadah waktu mungkin buat dosa jelas banding dg orang tak agama beberapa detik tak atur hakikat agama jadi leluasa maksiat atau buat dosa laku selalu buat baik sama ateis potensi tindak dosa waktu laku tak buah proses penghambaanibadah beda waktu ini buat orang agama baik belum milik agama agama apa pasti tunjuk suatu baik quotkarmaquot quot ikhtiarusahaquot quotkebaikanquot dlldi agama jelas penting untuk hidup quotadaquot quottidak adaquot setatus untuk buah saksi dunia random cipta tuhan saksi atas besar nya ini tuju hidup telah capai orang agama yang ateis selalu mensetatuskan diri kelak mati jadi quottidak adaquot orang agama rasa hidup mati ada ruh yang tempel pada jasad kelak adil mereka ateis lebih percaya tidak hidup mati pertanyaanya hidup kelak kita mati tentu orang agama benar kalo suatu kita salah tidak hidup tinggal tidak ada surga neraka kita tak rasa bersalahnamun ateis salah atas paham nyata ada hidup mati yang rugi adalah dia sendirimungkin tak jadi debat bilamana orang agama masih laku keburu quotfasiqquot karena dia adil adil dunia ini sah agama apa pasti paham saya orang agama tidak jalan pera orang yang baik dia tetap adil tetap ia dapat rewards atas pentidakuan tuhan yang maha esa,"different religious people, the problem of worship is not the fruit of the strong, the almighty, the absolute, the god of religion, what religion will you believe strongly, well, let's discuss, you have to understand atheists, there is always a direction, you don't believe, you have a sense of power, you choose a theory, the result of this difference is always held by atheists, even if I am the fruit of the grave, the phase of an atheist can change into a religion, even the level of understanding the mode of searching for God should be held by religious people, the fruit of obedience, distinguishing, try to reflect on your worship, worship, worship, worship, when you may commit a clear sin compared to non-religious people, for a few seconds, the nature of religion is not regulated, so you freely commit immorality or sin, always do it good for atheists, the potential for sin when the behavior does not bear fruit, the process of enslavement is different this time for religious people, it is good if you do not belong to a religion, what religion must show something good quotkarmaquot quot effortquot quotgoodnessquot etc. in religion it is clearly important to live quotadaquot quotthere is noquot a hundred for the fruits of the world's random witness God created a witness On top of that, this is the goal of life. Religious people who are atheists always believe that they will die later, so quot; there is no.quot; one thing is that we are wrong, we don't live, there is no heaven, hell, we don't feel guilty, but atheists are wrong because of the real understanding that there is life and death, the loser is he himself, maybe it won't be a debate when religious people still act like quotfasiqquot because he is just religion does not work like a good person, he is still just, he still gets rewards for disobeying the almighty God"
ha ha ha suka sih oolan,Ha Ha Ha Suka Sihulan
masalah cuma satu krna lu punya tuhan cok klo punya tuhan ada kata hambar krna lu nafas aja udh rasa sayaukur,"There's only one problem because you have a God. If you have a God, there are words that are insipid because you just breathe, I feel like I'm measuring it."
banyak ko atheis hidup bahagia,Many atheists live happily
keren,keren
luar duga cok,"it's unexpected, really"
dulu ketangkep narkoboy pas nonton pornografi kan yahaku ga kenalentah narasumber kalau gin gin netizen sukasemoga netizen yang liat ambil positif aja,"In the past, I was arrested for drugs while watching pornography, right? I don't know who the source is. If gin gin netizens like it, I hope netizens who see it will take it positively."
cok ajar tidak jajah stereotipe netizen,Teach me not to obey netizen stereotypes
kalau ada idola orang rti sama aja ya gilaa wkwk,"If someone has an idol, the meaning is the same, that's crazy, hahaha"
banyak fansnya mungkin agnostik atheis kristen,"many of his fans may be agnostic, atheist, Christian"
anjirr baju 666 wkwkwk,anjirr clothes 666 hahaha
jimmy,jimmy
somasi rendah depan cok pardede,Somasi low in front of Cok Pardede
dulu gt pikir uda islam tp nyari2 ada tuhan alami kurang 9tahun lalu waktu stm skrg uda dewasa makin dewasa makin rasa hadir tuhan banyak sekali alami baik senang susah tidak kira logika akhir beri baik saya situ saya 100 baru yakin keberdaan tuhankedua statemen choky rasa skrg karirnya puncak itu sangat lemah skali akan saksi bersama2 ujung gimana semua akan ke masing2 individu sperti yang sudah kata sendiri yakin hukum karma,"I used to think I was already a Muslim but I was looking for a natural God, less than 9 years ago, now I'm an adult, I'm getting older, I'm getting more and more of a feeling of God's presence, lots of natural things, good, happy, hard, no matter what, the final logic, give me a good one, I'm 100 times convinced of the existence of God, both of Choky's statements, I think now my career is at the peak It's very weak to see the two ends together, but it all comes down to each individual, as has been said by himself, he believes in the law of karma."
fans leslar kok sini nonton dangdut aja sana,Leslar fans here just watch dangdut there
hallo,hallo
btw si cok ga tempat indoneseia ingat sila 1 tuhan maha esa orangorang ga percaya tuhan haram injak tanah indonesia,"BTW, why don't you take a place in Indonesia, remember the 1st principle, God is Almighty, people who don't believe in God are haram for stepping on Indonesian land."
thx master udah ngundang orang hebat,thx master for inviting great people
mantap joke pinggir jurang resiko,solid joke on the edge of the risk gap
tamu bobot tinggi reza,Reza's high weight guest
manusia baik jiwakuthanks,"good soul man, thanks"
kasihan,pity
top om deddi,top uncle deddi
cok masuk bui anjir materi anj isi,It's okay to go into prison and fill the material
lihat cara ngomongnya aktifapa coky masihmmmmahhh mungkin hanya ilusi saja,"Look at the way he speaks actively, is Coky still mmhh maybe it's just an illusion"
nomor tahan keren quotnumber of the beastquot v,cool prisoner number quot number of the beast quot v
nah bgus nih barang cokimantap,"Well, this is really good, cool stuff"
tari satanic sangat rindu,satanic dance really miss
suka bawa cok lihat gampang jelas asa n pikir,I like to carry it because it's easy to see and clearly hope and think
accept the things i cannot changethe courage to change the things i canand the wisdom to know the differenceibarat dopamin kalo ml 90kalo makan 100 shabu hasil duplikat dopamin 2000 atas lambat laun dopamin duplikat kurang bahkan otak bisa hasil dopamin hal biasa buat orang depresi gimana paham rasa nagih craving ibarat lu kurung ruang beri makan lama beberapa hari ruang lu kasih liat bagai macam makan ingin keluar besar bola besbol nah bila ruang di beri minum rasa ingin keluar besar bola basket nah kalo odgpz di kurung di ruang hanya di suruh bayang rasa pertama kali guna akhir kali guna ingin keluar besar lapang voli moga bisa bantu banyak orang paham orangquot sedang pulih jalan pulih gampang dukung keren choky keep coming back,"accept the things i cannot change the courage to change the things i canand the wisdom to know the difference is like dopamine if ml 90 if you eat 100 shabu the result is duplicate dopamine 2000 over sooner or later the duplicate dopamine is less even the brain can produce dopamine it's normal for depressed people how do you understand the feeling of nagih Craving is like being locked up in a room, giving food for a long time. For a few days, the space you love looks like it's like eating. You want to go out big. A baseball. When you are given a drink, you want to go out a big basketball. Well, if you are locked up in a room, you only tell the shadow to feel the first time you use it at the end. I want to go out to the big volleyball field, I hope I can help many people, understand people, I'm recovering, I'm recovering, it's easy to support, cool, choky, keep coming back"
raka meng olok2n agama,raka makes fun of religion
cok ni sebenernya pinter cuma salah jalan aja gw,"It's actually smart, it's just the wrong way, man"
mas choky asli cerdas dy ngedariugs tp dy mampu menganalisa yang terrjadi diri hebat gw kagum,"Mas Choky is really smart in drugs but he is able to analyze what is happening himself, I'm really impressed"
om ded dikibulin cok polisi mana nangkep bisa bedain mana pornografi mana mma kalo mma jelas wasit tempat octagon,om ded dikibulin cok where the police can tell the difference between which is pornography and which is mma if mma is clearly the referee of the octagon place
dikibulin benar udah sama2 tau cuma akting blokkkk,"dikibulin is true, it's all the same, you know, it's just block acting"
soale pilih cepu sober waktu banget kata2nya ya keluar orang sprti cok pardede,"When it comes to choosing Cepu, it's really time for people like Cok Pardede to come out"
paman cok sini sungguh positive vibes wkwk,Uncle Cok here really has positive vibes haha
dedi kayak njilat ludah sendiri kata jangan kasih orang bodoh panggung,he said like licking his own spit and said don't love stage fools
cerdas sih jawab lu cok,"You're a smart answer, bro"
cokipradede gue suka kelas,cokipradede I like class
tretan muslim gada apa2nya sama cok,There's nothing wrong with Muslim treants
rawan lagi nih cok,I'm vulnerable again
bisopse apa sih nyari google katidak,"Bisopse, what's the matter with searching Google?"
rehab rokok dmn om,where do you go to cigarette rehab?
mas ingat kata abdur somasi orang suka buat kontroversi lagi main ranah agama moga dapat hidayah,"Remember what Abdur Somasi said, people like to create controversy and play in the realm of religion. May you be guided"
bukan orang cerdas 2 orang bego dukung rakyat bego hehehe,"not smart people, 2 stupid people support stupid people hehehe"
benrr o wkwkw,"That's right, hahaha"
allah kalau jadi pimpin minimal org kyj gin penjara maximal bunuh,"Allah, if you become a leader, the minimum number of people will be imprisoned, the maximum will be killed"
iya bang cerdas ente doang,"Yes, bro, you're just smart"
lu bilang,you said
gw pernah ngerasain jalan jlan slahsehingga smpat masuk 8 bulan hotel prodeo cuma nikmat saat bikin gw hilang bebas lama 8 bulan tp gw bersayaukur bangetstelah kluargw pernah ngulangin buat gw dulu lagimeskipun bnyak goda tman2 sekitar gwgw teguh sama diri gwsekarang bas tahun gw hidup bersih normal smua berkat niat sungguh2 hati gw buat kalian blum terjerumuslebih baik usah mencoba2 sekali masuk akan sulit keluar,"I once felt like I was walking the wrong way, so I was able to get into a free hotel for 8 months, it was just a pleasure when it made me lose my free time for 8 months, but I'm really thankful that my family has done this for me in the past, even though there were a lot of teasing from my friends around me. My sincere intention is that you don't fall into it, it's better if you try and get in once, it will be difficult to get out"
gue klo liat si cok bayang dosa hal jijik,"When I see the cok, it is a disgusting thing to sin"
cok jijihhhh bgt sombong cokiii sehat selalu om dedd,"Coki is so arrogant, Coki is always healthy, Uncle Deddy"
sehat selalu banyak rezeky aja buat semua,"always healthy, lots of good fortune for everyone"
dpan kamera ngerasa bebas bnget d rmh stres nyabu sendiri kamar smbil nnton pornografi cowok,"In front of the camera, I feel very free, I don't have to stress myself out in my room while watching male pornography"
sahabat bubar gara gara sabu itu laku buat orang banyak duit,friends broke up because shabu was selling and making people a lot of money
coky sengaja pake baju 666 tau angka setan background dia kristen,"Coky deliberately wears a 666 shirt, knowing the devil's number, his background is Christian"
asukk mma,good luck
daging nih oolannya,This is the ool meat
dont make stupid people famous dasar semak pipelll,don't make stupid people famous dasar sepak pipelle
gila gila gila gila gila wkwkww,crazy crazy crazy crazy crazy wkwkww
si cok semenjak keluar penjara langsung dadak jadi sok intelektual padahal cuma mainin main kata lagi puja hyperbola seakanakan argumen cok paling msuk akal kalo himpun tisik banyak banget nyata si cok cacat logika tiap podcast refrensi dia guna nihil cuma pikir subjektif kombinasi bahasa nuansa intelek jadi liat pintar gampang orang yang baru baca 1 2 buku bisa lihat intelektual resiko lu bakal jadi bahan olok kalau ketemu akademisi sungguh,"since he got out of prison, he suddenly became an intellectual, even though he was just playing with words, he worshiped hyperbole as if his argument made the most sense if there were a lot of silences, it was true that he was flawed in logic in every podcast, he used zero references, just thought subjectively, a combination of language, intellectual nuances, so he was smart it's easy for people who have just read 1 or 2 books to be able to see intellectuals, the risk is that you will become a mockery if you meet a real academic"
iy bang,yeah bro
orang cuma nikmat dark comedy cok after that mau si cok ketangkep mau ngapain y terserh,people just enjoy dark comedy cok after that what do you want the cok to do?
main film miracle cell 7 tuh,Play the film Miracle Cell 7
welcome to the darkness lord cok pardede,welcome to the darkness lord cok pardede
paman satu ketangkep benar dalam karakter,Uncle One Ketangkep is true in character
quotgw tangkap bukan krn cepu tp krn gw langgar hukumquot sumpah gentle bet mnyadari sgguh kslhan tnpa mmyalahkan org,"quot I was arrested not because I was drunk, but because I broke the law"
komen quotkok kasih panggungquot quotsangat mengedukasiquot dllx000dmungkin adalah salah satu sebut paman cok menit melulu dapat positifx000dterkadang hal negatif beri ajar impactnya luar biasa,"comment ""why do you give me a stage"" ""very educational"" etc."
kalao sperti msg tu adiksi,"If it's like the message, it's an addiction"
zulumat is kam bek,Zuumat is comb beak
rehab bukan sehat malah farming materi,"Rehab isn't healthy, it's farming for materials"
inspirasi sekali boss bagus pas tamu aldi taher cocok konsumsi smart people,"Very inspiring boss, good fit for Aldi Taher guests, suitable for consumption by smart people"
less judging respect ga terlalu banyak nyinyirin orang lumayan lah ubah,"less judging respect, not insulting people too much, it's quite a change"
welcome back cok,welcome back cok
alepyu bang cokk,alepyu bro bro
ytta bagi mma yangy,ytta for mma yangy
,in
paman cok,uncle cok
welcome back cok,welcome back cok
cok gua tunggu bandung,I'm waiting for Bandung
ketawa bengek,laugh out loud
,in
hukum indo untuk rakyat bawah karna rehab butuh dana extra,Indonesian law is for the lower class because rehabilitation requires extra funds
gue aku public speaking cok si is another level cara penyampaianya lihat banget kalo emang good public speaking,"I'm a public speaker, but that's another level in the way I convey it. See if I'm really good at public speaking"
quotdont make stupid people famousquot kan dulu,quote don't make stupid people famous quote kan dulu
pemuda sesat,misguided youth
ngool ny template bgt dulu gitu2 aja di bahas,ngool ny template is just discussed
bod0 am4t ama kasus nark0b4 paman penting sudah comback gw dah neng bangetgw kangen dark jokes anda pak choki,"bod0 am4t or the nark0b4 case, uncle important has come back, I've really missed your dark jokes, Mr. Choki"
cok publik speakingnya atas rata2 sih,How come his public speaking is above average?
gw paham bener maksud coky om dedi kemanakesimpulan menit ahahha tidak kalau sukses tidak menang menang di usiaupsss sindir buat kuasa ambisi tidak bobot otak upsss sudah dendam kuasa,"I really understand what Coki Uncle Dedi means, where is the conclusion of the minute hahaha no, if you are successful, you won't win at your age.oopsss sarcasm for power, ambition doesn't have the weight of the brain, upsss, I already have a grudge against power"
emang orang suka burit gay pakek narkoba kok jadi nara sumber bilang lawak gk lucu lucu main komedi tv lawak tpi ampir sama hina agama orang agnostik agnostik apaaan orang idiot lah klau orang idiot jngan kasi panggung klau cuan,"Yes, people like gay butts who use drugs, why is it that the source says it's funny, it's not funny, it's funny, it's funny, it's almost as insulting to the religion of agnostic people, agnostic people, what are idiots, if idiots don't give money to the stage"
kalo ga suka mending ga usah nonton ga perlu dateng quotpanggungquot vlu naro comment ngeklik video sama anda ikut dalam riah quotpanggungquotnya lol,"If you don't like it, it's better not to watch it, you don't need to come to ""panggungquot"""
generasi kolot masih anggap komedi baik di tv,The old-fashioned generation still thinks comedy is good on TV
say no narkoba say yes hidup bahagia,say no drugs say yes live happily
mantap,solid
